set,item,exact_matches,normalized_matches,max_jaccard,nearest_plate,nearest_item
calibration,185,0,0,0.0048,optmath_bench,109
calibration,186,0,0,0.0057,optmath_bench,130
calibration,187,0,0,0.0031,mamo_complex_test,86
calibration,188,0,0,0.0017,optibench,143
calibration,189,0,0,0.0028,mamo_complex_test,150
calibration,190,0,0,0.0,,
calibration,191,0,0,0.0035,optmath_bench,161
calibration,192,0,0,0.0047,optmath_bench,158
calibration,193,0,0,0.0031,optmath_bench,133
calibration,194,0,0,0.0022,optmath_bench,158
calibration,195,0,0,0.0032,optmath_bench,133
calibration,196,0,0,0.0047,optibench,432
calibration,197,0,0,0.0041,optibench,432
calibration,198,0,0,0.0053,optibench,432
calibration,199,0,0,0.0049,optibench,504
calibration,200,0,0,0.0052,optibench,504
calibration,201,0,0,0.0095,mamo_complex_test,86
calibration,202,0,0,0.0034,optmath_bench,50
calibration,203,0,0,0.0153,mamo_complex_test,86
calibration,204,0,0,0.011,mamo_complex_test,86
calibration,205,0,0,0.009,mamo_complex_test,86
calibration,206,0,0,0.0087,mamo_complex_test,86
calibration,207,0,0,0.0019,industryor,35
calibration,208,0,0,0.0056,optmath_bench,106
calibration,209,0,0,0.002,industryor,35
calibration,210,0,0,0.0015,mamo_complex_test,178
calibration,211,0,0,0.0055,mamo_complex_test,138
calibration,212,0,0,0.0049,mamo_complex_test,138
calibration,213,0,0,0.007,mamo_complex_test,138
calibration,214,0,0,0.0039,mamo_complex_test,86
calibration,215,0,0,0.004,mamo_complex_test,86
calibration,216,0,0,0.0107,mamo_complex_test,86
calibration,217,0,0,0.0028,complexor,3
calibration,218,0,0,0.0022,optmath_bench,5
calibration,219,0,0,0.0045,optmath_bench,130
calibration,220,0,0,0.0055,optmath_bench,94
calibration,221,0,0,0.0055,optmath_bench,62
calibration,222,0,0,0.005,optmath_bench,116
calibration,223,0,0,0.0057,optmath_bench,62
calibration,224,0,0,0.0054,optmath_bench,78
calibration,225,0,0,0.0049,optmath_bench,14
calibration,226,0,0,0.0042,optmath_bench,116
calibration,227,0,0,0.0013,optmath_bench,116
calibration,228,0,0,0.0015,optmath_bench,116
calibration,229,0,0,0.0014,optmath_bench,116
calibration,230,0,0,0.0051,optmath_bench,133
